Location,Year,1,2,3,4,5,6,7,8,9,10,11,12
SG GALAS,1980,27.07967742,26.9837931,26.96645161,26.95033333,26.93419355,26.91633333,26.90032258,26.88419355,26.866,26.85032258,26.99,27.53193548
SG GALAS,1981,26.52225806,26.06428571,25.53903226,26.124,26.43483871,25.90166667,25.78709677,25.57645161,26.42066667,26.92677419,27.16366667,27.29645161
SG GALAS,1982,27.13193548,27.08892857,27.04516129,27.00033333,26.95548387,26.91033333,26.59193548,26.41129032,26.238,27.18419355,27.34633333,28.57193548
SG GALAS,1983,27.17967742,26.13821429,25.62612903,25.286,26.01096774,26.527,27.02483871,27.53064516,27.88433333,26.72967742,27.20166667,31.37677419
SG GALAS,1984,28.09774194,29.43482759,27.47290323,25.269,27.24870968,27.112,26.83032258,26.34225806,26.885,27.33677419,26.89533333,28.42193548
SG GALAS,1985,27.1316129,27.05535714,27.76677419,26.56233333,27.57354839,26.61033333,26.29,26.35516129,27.01233333,28.44612903,27.82533333,27.54193548
SG GALAS,1986,27.41290323,26.17142857,26.36322581,26.558,26.27516129,26.25133333,26.36258065,26.6316129,26.789,26.96709677,27.48933333,32.39322581
SG GALAS,1987,28.7416129,26.18285714,26.10258065,25.889,26.24483871,26.221,25.86677419,26.48806452,26.574,27.73451613,27.95666667,29.96032258
SG GALAS,1988,28.16483871,27.33517241,26.21612903,26.068,26.76741935,26.808,26.90032258,27.27903226,27.74766667,26.70967742,29.648,28.56290323
SG GALAS,1989,28.24870968,26.37428571,26.01580645,26.11566667,26.43193548,26.336,25.9383871,25.64806452,26.43433333,27.18612903,26.983,27.0483871
SG GALAS,1990,27.37419355,26.82357143,25.97354839,26.23,26.10129032,26.14133333,26.28903226,26.59903226,27.73733333,27.53967742,27.57,29.19258065
SG GALAS,1991,27.44258065,26.53357143,26.2283871,26.215,26.89032258,26.593,26.1616129,26.18548387,26.54366667,26.92064516,28.10733333,28.92870968
SG GALAS,1992,27.8016129,26.79448276,26.42290323,26.09566667,26.1716129,26.63166667,26.69354839,26.17064516,26.273,26.98774194,28.76766667,29.0583871
SG GALAS,1993,27.54451613,26.67321429,26.78806452,26.733,26.74967742,26.90166667,26.79967742,26.82709677,27.88366667,28.78774194,29.168,30.93
SG GALAS,1994,28.13354839,27.5125,27.68354839,27.453,27.75290323,27.77,27.33645161,27.51354839,28.339,28.7383871,30.89133333,28.58548387
SG GALAS,1995,28.20129032,27.19964286,27.16677419,27.17766667,27.15096774,27.10433333,26.79258065,27.59419355,27.20133333,27.53096774,28.206,28.47193548
SG GALAS,1996,27.71967742,27.46551724,26.25645161,26.53666667,27.0316129,27.25866667,27.40258065,27.00806452,27.47333333,28.35774194,27.676,28.87129032
SG GALAS,1997,26.85064516,26.82107143,26.55032258,26.698,26.31064516,26.43666667,26.81225806,26.49548387,26.58833333,26.84903226,27.68133333,28.13129032
SG GALAS,1998,27.63967742,26.30964286,25.90645161,25.47233333,25.86612903,26.242,26.74774194,27.12741935,27.48933333,27.31709677,28.183,29.56709677
SG GALAS,1999,29.8816129,28.12857143,27.59548387,27.78933333,27.69483871,26.96433333,26.5983871,26.81903226,27.29133333,27.69709677,27.38866667,28.78903226
SG GALAS,2000,28.83741935,27.68896552,27.67483871,28.06933333,27.76064516,27.25066667,26.55516129,26.89516129,26.88166667,26.98096774,27.89,27.43612903
SG GALAS,2001,28.10935484,26.91607143,26.92032258,26.54233333,26.82096774,26.646,26.39193548,26.64677419,26.783,27.73741935,28.15266667,29.42322581
SG GALAS,2002,27.88516129,26.64214286,26.11580645,26.08766667,26.21129032,26.58466667,26.04903226,26.58741935,26.51133333,27.56193548,27.31066667,27.72806452
SG GALAS,2003,27.61741935,26.68214286,26.43903226,26.52233333,26.29741935,26.35733333,26.80032258,26.75645161,26.75,26.80096774,27.63833333,28.89290323
SG GALAS,2004,27.58387097,26.99517241,26.83935484,26.28533333,26.48,26.17266667,26.37,26.15387097,28.256,28.49096774,27.76033333,29.12419355
SG GALAS,2005,27.29258065,26.38178571,26.00258065,26.31933333,26.47935484,26.16466667,25.91419355,25.41096774,26.23933333,27.21870968,29.17833333,29.78225806
SG GALAS,2006,29.03354839,28.28392857,26.84612903,26.755,27.48451613,27.49333333,26.75,26.62709677,27.85633333,28.52096774,29.82133333,29.46387097
SG GALAS,2007,29.22806452,26.70357143,26.35612903,26.74633333,26.97967742,27.252,26.94935484,26.83580645,27.197,27.18548387,27.62933333,27.5283871
SG GALAS,2008,27.51806452,27.13068966,26.98419355,27.181,27.09935484,27.125,27.30677419,28.08301075,27.69,27.85548387,28.77866667,29.63709677
SG GALAS,2009,29.23774194,27.21107143,27.71677419,27.63966667,27.34387097,27.21666667,27.09967742,26.75387097,27.18266667,27.51129032,33.961,29.09548387
SG GALAS,2010,27.88903226,27.205,26.94741935,26.26833333,26.52612903,26.59766667,26.92096774,26.59645161,26.83966667,27.49373449,29.74,29.63354839
SG GALAS,2011,30.5316129,29.24285714,29.22129032,29.042,28.69,28.72366667,28.32806452,28.49322581,28.925,28.86741935,29.97566667,30.36935484
SG GALAS,2012,30.80290323,27.98310345,27.92322581,28.31833333,27.68612903,26.856,27.00935484,27.05709677,26.895,27.14387097,27.52566667,27.55451613
SG GALAS,2013,27.65290323,28.37928571,27.48709677,27.09533333,27.35354839,26.93566667,26.90483871,27.32677419,27.50866667,27.72483871,28.18866667,29.68774194
SG GALAS,2014,28.48935484,26.92821429,26.64645161,26.94833333,27.30451613,27.19033333,26.67774194,26.95741935,27.279,28.14258065,28.2,31.16129032
SG GALAS,2015,31.93419355,28.78142857,26.01580645,25.528,25.78129032,25.683,25.49193548,25.64064516,25.46766667,25.91774194,26.61433333,26.50677419
SG GALAS,2016,25.92290323,25.93068966,24.83806452,25.052,25.55419355,26.056,26.5583871,27.0683871,27.57033333,28.07258065,28.70166667,29.60935484
SG GALAS,2017,31.97580645,29.91285714,29.33870968,29.42633333,29.71032258,29.32066667,29.32,29.40645161,30.17833333,29.95516129,31.26866667,31.22322581
SG GALAS,2018,31.60580645,29.27214286,28.60483871,28.84033333,29.77,30.064,29.79129032,27.04419355,25.88266667,25.3916129,25.17433333,25.93193548
